package,version,binaries,total_binary,obf,O0,O1,O2,O3,Total
LVM2.2.02.168,,2,8,all,3130,2126,2132,2115,9503
LVM2.2.02.168,,2,8,bcf,3131,2119,2121,2123,9494
LVM2.2.02.168,,2,8,clang-none,3103,2012,2011,2007,9133
LVM2.2.02.168,,2,8,fla,3103,2020,2019,2015,9157
LVM2.2.02.168,,2,8,sub,3103,2014,2013,2011,9141
binutils,,15,15,all,27133,0,0,0,27133
binutils,,15,60,bcf,27164,18775,18491,18542,82972
binutils,,16,64,clang-none,29735,19707,19524,19406,88372
binutils,,15,15,fla,27091,0,0,0,27091
binutils,,15,60,sub,27091,18124,17910,17814,80939
coreutils,,103,412,all,11024,7638,7553,7590,33805
coreutils,,103,412,bcf,11045,7279,7638,7292,33254
coreutils,,103,412,clang-none,11019,6998,7020,6995,32032
coreutils,,103,412,fla,11019,7004,7026,7001,32050
coreutils,,103,412,sub,11019,6998,7021,6995,32033
diffutils,,4,16,all,565,348,345,343,1601
diffutils,,4,16,bcf,565,349,349,343,1606
diffutils,,4,16,clang-none,565,337,336,334,1572
diffutils,,4,16,fla,565,337,336,334,1572
diffutils,,4,16,sub,565,338,336,335,1574
gzip,,1,4,all,148,90,93,94,425
gzip,,1,4,bcf,148,89,93,94,424
gzip,,1,4,clang-none,147,88,91,92,418
gzip,,1,4,fla,147,88,91,92,418
gzip,,1,4,sub,147,88,91,92,418
lighttpd,,1,4,all,463,342,344,340,1489
lighttpd,,1,4,bcf,463,341,337,341,1482
lighttpd,,1,4,clang-none,463,333,333,332,1461
lighttpd,,1,4,fla,463,333,333,332,1461
lighttpd,,1,4,sub,463,335,334,333,1465
miniweb,,1,4,all,73,65,66,66,270
miniweb,,1,4,bcf,74,66,66,69,275
miniweb,,1,4,clang-none,73,65,65,65,268
miniweb,,1,4,fla,73,65,65,65,268
miniweb,,1,4,sub,73,65,65,65,268
nginx,,1,4,all,1334,1053,1064,1053,4504
nginx,,1,4,bcf,1337,1054,1059,1057,4507
nginx,,1,4,clang-none,1331,1039,1039,1037,4446
nginx,,1,4,fla,1331,1039,1039,1037,4446
nginx,,1,4,sub,1331,1041,1041,1038,4451
putty,,7,28,all,6879,5425,5382,5347,23033
putty,,7,28,bcf,6898,5458,5430,5376,23162
putty,,7,28,clang-none,6870,5124,5110,5069,22173
putty,,7,28,fla,6870,5166,5152,5111,22299
putty,,7,28,sub,6870,5127,5116,5075,22188
spec2006,,14,56,all,12233,10033,10033,10005,42304
spec2006,,14,56,bcf,12236,10031,10029,9992,42288
spec2006,,14,56,clang-none,12183,9764,9745,9708,41400
spec2006,,14,56,fla,12183,9790,9771,9734,41478
spec2006,,14,56,sub,12183,9794,9775,9737,41489
vsftpd,,1,4,all,570,415,416,420,1821
vsftpd,,1,4,bcf,570,417,424,413,1824
vsftpd,,1,4,clang-none,551,366,366,367,1650
vsftpd,,1,4,fla,551,367,367,368,1653
vsftpd,,1,4,sub,551,367,368,369,1655
